Date,SKU,UnitPrice,Quantity,TotalPrice
01-01-2019,Death by Chocolate,180,5,900
01-01-2019,Cake Fudge,150,1,150
01-01-2019,Cake Fudge,150,1,150
01-01-2019,Cake Fudge,150,3,450
01-01-2019,Death by Chocolate,180,1,180
01-01-2019,Vanilla Double Scoop,80,3,240
01-01-2019,Butterscotch Single Scoop,60,5,300
01-01-2019,Vanilla Single Scoop,50,5,250
01-01-2019,Cake Fudge,150,5,750
01-01-2019,Hot Chocolate Fudge,120,3,360
01-01-2019,Butterscotch Single Scoop,60,5,300
01-01-2019,Chocolate Europa Double Scoop,100,1,100
01-01-2019,Hot Chocolate Fudge,120,2,240
01-01-2019,Caramel Crunch Single Scoop,70,4,280
01-01-2019,Hot Chocolate Fudge,120,2,240
01-01-2019,Hot Chocolate Fudge,120,4,480
01-01-2019,Hot Chocolate Fudge,120,2,240
01-01-2019,Cafe Caramel,160,5,800
01-01-2019,Vanilla Double Scoop,80,4,320
01-01-2019,Butterscotch Single Scoop,60,3,180
01-01-2019,Butterscotch Single Scoop,60,3,180
01-01-2019,Vanilla Single Scoop,50,2,100
01-01-2019,Butterscotch Single Scoop,60,3,180
01-01-2019,Vanilla Double Scoop,80,1,80
01-01-2019,Death by Chocolate,180,2,360
01-01-2019,Cafe Caramel,160,2,320
01-01-2019,Pista Single Scoop,60,3,180
01-01-2019,Hot Chocolate Fudge,120,2,240
01-01-2019,Vanilla Single Scoop,50,3,150
01-01-2019,Vanilla Single Scoop,50,5,250
01-01-2019,Cake Fudge,150,1,150
01-01-2019,Vanilla Single Scoop,50,4,200
01-01-2019,Vanilla Double Scoop,80,3,240
01-01-2019,Cake Fudge,150,1,150
01-01-2019,Vanilla Double Scoop,80,5,400
01-01-2019,Hot Chocolate Fudge,120,5,600
01-01-2019,Vanilla Double Scoop,80,2,160
01-01-2019,Vanilla Double Scoop,80,3,240
01-01-2019,Hot Chocolate Fudge,120,5,600
01-01-2019,Cake Fudge,150,5,750
01-01-2019,Vanilla Single Scoop,50,5,250
01-01-2019,Cake Fudge,150,5,750
01-01-2019,Pista Single Scoop,60,1,60
01-01-2019,Butterscotch Single Scoop,60,2,120
01-01-2019,Vanilla Double Scoop,80,1,80
01-01-2019,Cafe Caramel,160,1,160
01-01-2019,Cake Fudge,150,5,750
01-01-2019,Trilogy,160,5,800
01-01-2019,Butterscotch Single Scoop,60,3,180
01-01-2019,Death by Chocolate,180,2,360
01-01-2019,Butterscotch Single Scoop,60,1,60
01-01-2019,Hot Chocolate Fudge,120,3,360
01-01-2019,Cake Fudge,150,2,300
01-01-2019,Cake Fudge,150,2,300
01-01-2019,Vanilla Single Scoop,50,4,200
01-01-2019,Cafe Caramel,160,1,160
01-01-2019,Cake Fudge,150,5,750
01-01-2019,Cafe Caramel,160,5,800
01-01-2019,Almond Fudge,150,1,150
01-01-2019,Cake Fudge,150,1,150
01-01-2019,Death by Chocolate,180,5,900
01-01-2019,Death by Chocolate,180,5,900
01-01-2019,Hot Chocolate Fudge,120,4,480
01-01-2019,Cake Fudge,150,2,300
01-01-2019,Cake Fudge,150,4,600
01-01-2019,Butterscotch Single Scoop,60,5,300
01-01-2019,Vanilla Double Scoop,80,4,320
01-01-2019,Death by Chocolate,180,2,360
01-01-2019,Caramel Crunch Double Scoop,100,5,500
01-01-2019,Vanilla Single Scoop,50,3,150
01-01-2019,Hot Chocolate Fudge,120,1,120
01-01-2019,Vanilla Double Scoop,80,3,240
01-01-2019,Cafe Caramel,160,1,160
01-01-2019,Vanilla Double Scoop,80,4,320
01-01-2019,Death by Chocolate,180,3,540
01-01-2019,Vanilla Double Scoop,80,5,400
01-01-2019,Vanilla Single Scoop,50,1,50
01-01-2019,Cafe Caramel,160,3,480
01-01-2019,Vanilla Double Scoop,80,4,320
01-01-2019,Death by Chocolate,180,2,360
01-01-2019,Hot Chocolate Fudge,120,5,600
01-01-2019,Pista Single Scoop,60,2,120
01-01-2019,Cake Fudge,150,2,300
01-01-2019,Hot Chocolate Fudge,120,2,240
01-01-2019,Vanilla Single Scoop,50,5,250
01-01-2019,Dry Fruit Double Scoop,90,3,270
01-01-2019,Butterscotch Single Scoop,60,3,180
01-01-2019,Cake Fudge,150,2,300
01-01-2019,Vanilla Double Scoop,80,5,400
01-01-2019,Dry Fruit Single Scoop,60,1,60
01-01-2019,Cafe Caramel,160,5,800
01-01-2019,Hot Chocolate Fudge,120,4,480
01-01-2019,Chocolate Europa Double Scoop,100,4,400
01-01-2019,Rocky Road Single Scoop,50,1,50
01-01-2019,Hot Chocolate Fudge,120,4,480
01-01-2019,Hot Chocolate Fudge,120,3,360
01-01-2019,Vanilla Double Scoop,80,3,240
01-01-2019,Cafe Caramel,160,2,320
01-01-2019,Vanilla Double Scoop,80,1,80
01-01-2019,Vanilla Double Scoop,80,5,400
01-01-2019,Cake Fudge,150,3,450
01-01-2019,Vanilla Single Scoop,50,5,250
01-01-2019,Hot Chocolate Fudge,120,2,240
01-01-2019,Hot Chocolate Fudge,120,5,600
01-01-2019,Vanilla Double Scoop,80,2,160
01-01-2019,Vanilla Single Scoop,50,4,200
01-01-2019,Vanilla Double Scoop,80,5,400
01-01-2019,Vanilla Single Scoop,50,4,200
01-01-2019,Vanilla Single Scoop,50,4,200
01-01-2019,Mint Fudge,120,3,360
01-01-2019,Butterscotch Single Scoop,60,3,180
01-01-2019,Vanilla Single Scoop,50,2,100
01-01-2019,Hot Chocolate Fudge,120,4,480
01-01-2019,Vanilla Single Scoop,50,3,150
01-01-2019,Death by Chocolate,180,2,360
01-01-2019,Dry Fruit Double Scoop,90,2,180
01-01-2019,Vanilla Single Scoop,50,1,50
01-01-2019,Butterscotch Single Scoop,60,3,180
01-01-2019,Vanilla Single Scoop,50,3,150
01-01-2019,Cake Fudge,150,2,300
01-01-2019,Vanilla Double Scoop,80,2,160
01-01-2019,Vanilla Double Scoop,80,5,400
01-01-2019,Chocolate Europa Double Scoop,100,4,400
01-01-2019,Death by Chocolate,180,4,720
01-01-2019,Hot Chocolate Fudge,120,1,120
01-01-2019,Death by Chocolate,180,2,360
01-01-2019,Cake Fudge,150,2,300
02-01-2019,Cafe Caramel,160,2,320
02-01-2019,Fig and Honey Double Scoop,90,1,90
02-01-2019,Cake Fudge,150,2,300
02-01-2019,Vanilla Single Scoop,50,2,100
02-01-2019,Death by Chocolate,180,1,180
02-01-2019,Cake Fudge,150,3,450
02-01-2019,Hot Chocolate Fudge,120,4,480
02-01-2019,Chocolate Europa Single Scoop,70,5,350
02-01-2019,Butterscotch Single Scoop,60,5,300
02-01-2019,Butterscotch Double Scoop,90,2,180
02-01-2019,Hot Chocolate Fudge,120,1,120
02-01-2019,Hot Chocolate Fudge,120,2,240
02-01-2019,Fig and Honey Single Scoop,60,4,240
02-01-2019,Butterscotch Single Scoop,60,3,180
02-01-2019,Cake Fudge,150,3,450
02-01-2019,Vanilla Single Scoop,50,4,200
02-01-2019,Pista Double Scoop,90,1,90
02-01-2019,Caramel Crunch Double Scoop,100,5,500
02-01-2019,Vanilla Double Scoop,80,4,320
02-01-2019,Death by Chocolate,180,1,180
02-01-2019,Butterscotch Double Scoop,90,5,450
02-01-2019,Vanilla Double Scoop,80,4,320
02-01-2019,Hot Chocolate Fudge,120,2,240
02-01-2019,Hot Chocolate Fudge,120,5,600
02-01-2019,Cake Fudge,150,3,450
02-01-2019,Cafe Caramel,160,1,160
02-01-2019,Cafe Caramel,160,1,160
02-01-2019,Vanilla Double Scoop,80,3,240
02-01-2019,Butterscotch Single Scoop,60,2,120
02-01-2019,Hot Chocolate Fudge,120,5,600
02-01-2019,Hot Chocolate Fudge,120,1,120
02-01-2019,Hot Chocolate Fudge,120,1,120
02-01-2019,Butterscotch Single Scoop,60,4,240
02-01-2019,Pista Single Scoop,60,5,300
02-01-2019,Death by Chocolate,180,4,720
02-01-2019,Hot Chocolate Fudge,120,1,120
02-01-2019,Death by Chocolate,180,2,360
02-01-2019,Banana Split,140,3,420
02-01-2019,Hot Chocolate Fudge,120,2,240
02-01-2019,Almond Fudge,150,1,150
02-01-2019,Pista Single Scoop,60,2,120
02-01-2019,Caramel Crunch Double Scoop,100,2,200
02-01-2019,Banana Split,140,5,700
02-01-2019,Death by Chocolate,180,2,360
02-01-2019,Cake Fudge,150,4,600
02-01-2019,Hot Chocolate Fudge,120,3,360
02-01-2019,Vanilla Double Scoop,80,3,240
02-01-2019,Cake Fudge,150,3,450
02-01-2019,Vanilla Double Scoop,80,4,320
02-01-2019,Hot Chocolate Fudge,120,3,360
02-01-2019,Vanilla Double Scoop,80,3,240
02-01-2019,Death by Chocolate,180,3,540
02-01-2019,Vanilla Double Scoop,80,1,80
02-01-2019,Hot Chocolate Fudge,120,4,480
02-01-2019,Death by Chocolate,180,2,360
02-01-2019,Banana Split,140,3,420
02-01-2019,Hot Chocolate Fudge,120,2,240
02-01-2019,Hot Chocolate Fudge,120,5,600
02-01-2019,Butterscotch Single Scoop,60,4,240
02-01-2019,Death by Chocolate,180,1,180
02-01-2019,Butterscotch Single Scoop,60,4,240
02-01-2019,Butterscotch Single Scoop,60,2,120
02-01-2019,Death by Chocolate,180,4,720
02-01-2019,Death by Chocolate,180,3,540
02-01-2019,Death by Chocolate,180,3,540
02-01-2019,Death by Chocolate,180,4,720
02-01-2019,Hot Chocolate Fudge,120,3,360
02-01-2019,Vanilla Double Scoop,80,3,240
02-01-2019,Cafe Caramel,160,1,160
02-01-2019,Cake Fudge,150,5,750
02-01-2019,Vanilla Double Scoop,80,5,400
02-01-2019,Death by Chocolate,180,5,900
02-01-2019,Vanilla Single Scoop,50,5,250
02-01-2019,Death by Chocolate,180,5,900
02-01-2019,Cafe Caramel,160,4,640
02-01-2019,Butterscotch Single Scoop,60,1,60
02-01-2019,Butterscotch Single Scoop,60,3,180
02-01-2019,Vanilla Double Scoop,80,4,320
02-01-2019,Cake Fudge,150,1,150
02-01-2019,Vanilla Double Scoop,80,2,160
02-01-2019,Cafe Caramel,160,5,800
02-01-2019,Fig and Honey Double Scoop,90,3,270
02-01-2019,Hot Chocolate Fudge,120,1,120
02-01-2019,Vanilla Single Scoop,50,2,100
02-01-2019,Hot Chocolate Fudge,120,4,480
02-01-2019,Death by Chocolate,180,4,720
02-01-2019,Vanilla Single Scoop,50,5,250
02-01-2019,Vanilla Double Scoop,80,4,320
02-01-2019,Death by Chocolate,180,4,720
02-01-2019,Hot Chocolate Fudge,120,3,360
02-01-2019,Hot Chocolate Fudge,120,3,360
02-01-2019,Cake Fudge,150,4,600
02-01-2019,Vanilla Single Scoop,50,5,250
02-01-2019,Butterscotch Single Scoop,60,3,180
02-01-2019,Hot Chocolate Fudge,120,5,600
02-01-2019,Fig and Honey Single Scoop,60,4,240
02-01-2019,Vanilla Single Scoop,50,4,200
02-01-2019,Death by Chocolate,180,5,900
02-01-2019,Butterscotch Single Scoop,60,5,300
02-01-2019,Hot Chocolate Fudge,120,1,120
02-01-2019,Vanilla Single Scoop,50,5,250
02-01-2019,Hot Chocolate Fudge,120,2,240
02-01-2019,Butterscotch Single Scoop,60,5,300
02-01-2019,Cake Fudge,150,2,300
02-01-2019,Vanilla Single Scoop,50,4,200
02-01-2019,Vanilla Double Scoop,80,4,320
02-01-2019,Vanilla Double Scoop,80,2,160
02-01-2019,Dry Fruit Double Scoop,90,2,180
02-01-2019,Death by Chocolate,180,5,900
02-01-2019,Death by Chocolate,180,3,540
02-01-2019,Hot Chocolate Fudge,120,4,480
02-01-2019,Cake Fudge,150,5,750
02-01-2019,Vanilla Double Scoop,80,2,160
02-01-2019,Cake Fudge,150,5,750
02-01-2019,Cake Fudge,150,1,150
02-01-2019,Vanilla Double Scoop,80,2,160
02-01-2019,Banana Split,140,5,700
02-01-2019,Caramel Crunch Single Scoop,70,1,70
02-01-2019,Cafe Caramel,160,5,800
02-01-2019,Hot Chocolate Fudge,120,3,360
02-01-2019,Hot Chocolate Fudge,120,4,480
02-01-2019,Death by Chocolate,180,2,360
02-01-2019,Vanilla Double Scoop,80,5,400
03-01-2019,Cafe Caramel,160,3,480
03-01-2019,Cafe Caramel,160,5,800
03-01-2019,Butterscotch Single Scoop,60,4,240
03-01-2019,Vanilla Double Scoop,80,3,240
03-01-2019,Hot Chocolate Fudge,120,1,120
03-01-2019,Banana Split,140,3,420
03-01-2019,Fig and Honey Single Scoop,60,3,180
03-01-2019,Hot Chocolate Fudge,120,5,600
03-01-2019,Pista Single Scoop,60,3,180
03-01-2019,Vanilla Double Scoop,80,5,400
03-01-2019,Vanilla Double Scoop,80,4,320
03-01-2019,Cake Fudge,150,2,300
03-01-2019,Hot Chocolate Fudge,120,5,600
03-01-2019,Vanilla Double Scoop,80,3,240
03-01-2019,Cake Fudge,150,1,150
03-01-2019,Dry Fruit Double Scoop,90,2,180
03-01-2019,Hot Chocolate Fudge,120,1,120
03-01-2019,Death by Chocolate,180,1,180
03-01-2019,Hot Chocolate Fudge,120,4,480
03-01-2019,Vanilla Single Scoop,50,3,150
03-01-2019,Death by Chocolate,180,5,900
03-01-2019,Rocky Road Single Scoop,50,4,200
03-01-2019,Dry Fruit Double Scoop,90,4,360
03-01-2019,Hot Chocolate Fudge,120,4,480
03-01-2019,Vanilla Double Scoop,80,4,320
03-01-2019,Cafe Caramel,160,4,640
